17.73,28.91,71.83,93.71,94.0,94.1,94.12,94.21
10.61,12.96,86.14,93.74,94.05,94.15,94.1,94.11
10.0,10.0,91.9,93.75,94.1,94.14,94.12,94.11
10.44,28.04,93.86,94.06,94.17,94.12,94.13,94.17
10.0,10.01,91.68,93.96,94.07,94.18,94.12,94.12
10.0,11.07,93.55,94.01,94.1,94.12,94.14,94.09
10.0,74.09,93.93,94.18,94.14,94.16,94.13,94.14
10.0,10.0,56.07,94.05,94.07,94.12,94.2,94.16
10.0,10.08,60.89,93.76,94.15,94.08,94.19,94.11
61.25,79.5,93.27,94.08,94.17,94.07,94.05,94.12
93.89,94.15,94.09,94.14,94.1,94.19,94.12,94.08
93.4,93.85,94.12,94.11,94.16,94.11,94.16,94.09
88.47,93.19,94.17,94.07,94.04,94.12,94.16,94.07
94.13,94.13,94.14,94.15,94.1,94.12,94.18,94.17
