Max Bits,C1 Bits,C2 Bits,FC1 Bits,FC2 Bits,FC3 Bits,Overall,Plane,Car,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
100000,1,2,1,3,2,28.220,0.000,28.100,13.200,35.500,13.600,0.100,52.100,17.500,60.600,61.200
100000,1,2,1,3,3,25.340,53.000,4.700,8.600,2.200,17.100,37.400,60.800,34.500,12.300,23.600
100000,1,2,1,3,4,37.320,55.200,49.100,22.200,44.800,21.300,24.500,45.100,43.600,6.700,60.600
100000,1,2,1,3,5,30.840,0.200,13.400,0.100,23.200,32.600,0.000,58.800,58.100,85.800,36.100
100000,1,2,1,3,6,35.820,63.200,65.900,31.600,6.900,5.300,64.800,39.300,44.800,14.400,21.800
100000,1,2,1,3,7,34.460,33.500,15.000,60.600,22.200,9.100,10.800,60.800,40.700,55.600,37.100
100000,1,2,1,3,8,40.090,71.700,55.000,14.300,15.900,18.300,55.200,65.200,50.400,27.700,27.100
100000,1,2,1,4,1,20.180,0.000,83.300,0.500,2.200,5.600,0.200,34.400,75.700,0.000,0.000
100000,1,2,1,4,2,33.140,44.700,64.800,3.800,31.500,26.700,27.900,58.600,29.200,30.800,13.600
100000,1,2,1,4,3,37.120,21.800,42.000,13.400,42.200,41.500,0.100,68.800,59.300,62.300,19.700
100000,1,2,1,4,4,36.460,57.500,60.700,21.300,54.400,35.500,4.100,42.800,36.200,28.500,22.700
100000,1,3,1,1,1,19.130,0.000,0.000,0.000,0.400,3.800,0.800,59.200,59.000,0.000,68.400
100000,1,3,1,1,2,22.440,11.700,0.000,4.800,74.900,0.200,0.200,10.300,33.900,0.000,88.200
100000,1,3,1,1,3,26.910,30.900,55.800,11.000,54.600,2.300,13.400,37.300,30.700,12.600,20.000
100000,1,3,1,1,4,29.460,22.200,0.400,0.900,22.400,11.200,15.200,66.500,32.000,79.400,44.600
100000,1,3,1,1,5,29.370,25.400,0.000,5.300,29.500,0.600,37.000,58.100,25.000,66.300,47.000
100000,1,3,1,1,6,23.150,15.000,70.200,0.900,0.100,0.000,0.800,85.200,0.000,51.800,7.000
100000,1,3,1,1,7,29.560,65.200,39.300,43.700,3.300,0.000,0.000,28.400,55.600,0.000,61.100
100000,1,3,1,1,8,36.260,13.700,67.800,3.900,9.100,29.200,50.000,70.800,35.800,74.100,6.600
100000,1,3,1,2,1,11.760,0.000,0.000,0.000,0.000,0.000,0.100,0.400,0.000,19.500,97.500
100000,1,3,1,2,2,28.840,30.300,2.000,3.500,5.200,51.700,25.500,57.100,23.100,22.200,67.900
100000,1,3,1,2,3,32.330,31.800,22.800,10.200,20.200,51.600,11.900,34.600,43.400,48.400,49.100
100000,1,3,1,2,4,26.120,86.100,10.600,0.700,2.000,28.800,65.400,23.000,39.500,0.000,3.800
100000,1,3,1,2,5,43.470,46.200,77.000,6.600,22.100,33.800,51.600,66.400,53.700,31.800,44.900
100000,1,3,1,2,6,40.230,19.000,59.800,15.300,27.100,23.700,34.200,62.900,59.900,53.900,46.800
100000,1,3,1,2,7,37.780,32.900,48.100,13.000,27.700,22.000,6.800,61.800,64.100,45.500,54.600
100000,1,3,1,2,8,40.160,32.900,56.500,19.400,33.400,37.000,6.300,59.000,64.300,67.900,25.300
100000,1,3,1,3,1,24.440,0.300,0.300,0.200,0.100,25.400,13.600,47.100,78.600,19.500,58.400
100000,1,3,1,3,2,33.940,47.900,32.300,22.400,17.200,0.200,39.300,62.400,36.300,16.600,65.100
